mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
78,9.2,78,40,80,104,96,8,76,1002,78,486,72,79,797,279,806,168,No Tab,21,68,162,23.82525626,Male
100,9.8,82,45,85,88,100,14,88,669,100,555,86,100,660,364,978,142,Tabbed,22,72,165,22.15299745,Male
63,6.6,66,25,67,135,69,3,65,958,83,413,55,78,811,297,946,196,Tabbed,22,69,134,19.23778456,Female
82,9,77,35,75,101,97,10,80,875,92,503,76,82,818,290,750,180,No Tab,21,70,188,26.7440238,Male
64,5.2,62,10,60,120,80,1,60,925,87,413,54,82,128,327,920,202,Tabbed,21,67,148,23.45254711,Female
50,4.6,61,14,62,146,66,0,0,1107,67,306,49,66,1033,252,772,258,No Tab,21,62,114,20.23641785,Female
78,8.2,71,54,94,100,98,14,88,835,97,526,42,74,1055,265,742,288,No Tab,22,61,139,25.11002089,Male
90,8.7,75,41,81,102,97,18,96,841,96,535,82,95,735,325,718,189,No Tab,22,72,202,28.09242602,Male
90,9.6,81,23,66,96,99,0,0,843,96,432,52,70,133,261,726,184,No Tab,22,75,206,25.0055587,Male
82,6.3,65,33,73,108,92,7,74,862,94,480,71,85,775,281,770,174,No Tab,23,65,165,26.52563949,Male
65,4.8,61,14,62,132,70,3,65,967,82,405,65,88,858,346,844,234,No Tab,22,64,123,21.65651735,Female
100,11.5,93,45,85,88,100,21,100,769,100,578,85,82,707,339,940,149,Tabbed,23,68,169,24.86113697,Male
78,9.7,81,34,74,88,100,11,82,875,92,507,69,80,772,287,884,159,No Tab,22,70,175,24.58724769,Male
